family,dataset_id,model,selector,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,validation_accuracy_mean,validation_accuracy_std,best_epoch_mean,best_epoch_std,development_feature_selection_seconds_mean,development_feature_selection_seconds_std,final_feature_selection_seconds_mean,final_feature_selection_seconds_std,development_training_seconds_mean,development_training_seconds_std,final_training_seconds_mean,final_training_seconds_std,test_inference_seconds_mean,test_inference_seconds_std
bert,imdb,bert_cls,ig,5,0.816,0.01850675552332171,0.8154106660372663,0.0192008005781581,0.8164745999614421,0.02040501593214459,0.8316666666666667,0.02661453237111888,6.2,3.420526275297414,0.07027694000862539,0.00941808925986271,0.07719805997330695,0.005793273042339544,150.54572063998785,53.62475227420378,90.81546985998284,51.470926084862,0.7611837400123477,0.05823316659984433
bert,imdb,bert_cls,none,5,0.854,0.012942179105544797,0.8535951429382519,0.013083224730708536,0.8541128060535955,0.013585377456840849,0.8633333333333333,0.03564874939367906,5.6,2.073644135332772,0.011886100005358457,0.0018983056691096554,0.01141399999614805,0.003976777829509452,222.71328153996728,44.84785984992763,132.50652321998496,49.43865901128506,1.3788019600091501,0.040895731110446684
bert,imdb,bert_cnn,df,5,0.839,0.02631539473388151,0.8387227853728634,0.02618271206587927,0.8401690524387893,0.02683878850309495,0.8583333333333334,0.03061862178478974,4.8,2.9495762407505253,0.0497335399966687,0.009194743453711235,0.05559604000300169,0.01256005520871934,215.0096132799983,49.68864781639776,114.1908968999749,69.54379564812426,1.379464239999652,0.03223704882467031
bert,imdb,bert_cnn,dfs,5,0.8150000000000001,0.03640054944640257,0.8129544364983524,0.03808951909228099,0.815194356082514,0.037034010273466124,0.82,0.04232808366400096,5.6,4.560701700396552,0.05770791999530047,0.006982046881806959,0.05810363995842636,0.009511332996588129,147.68722467999905,55.914594055172856,86.07505759999621,71.2806853824424,0.7354684199672192,0.052769670109399335
bert,imdb,bert_cnn,ig,5,0.811,0.018506755523321716,0.8084212792244846,0.01871084225859159,0.8098663726624253,0.01627761700379665,0.8483333333333334,0.04013864859597434,6.0,3.1622776601683795,0.07027694000862539,0.00941808925986271,0.07719805997330695,0.005793273042339544,156.8253210199764,52.45485225068061,94.04686801999341,50.943544489218155,0.790666180010885,0.05278472678527515
bert,imdb,bert_cnn,none,5,0.851,0.024341322889276193,0.8505029805422392,0.02471083661635181,0.853464068825911,0.022396733689922677,0.8933333333333333,0.027259045389660234,5.4,1.6733200530681511,0.011886100005358457,0.0018983056691096554,0.01141399999614805,0.003976777829509452,227.4485129200155,36.35237824888332,132.2427282199962,40.872729249305856,1.3892156599787995,0.03875187483446305
bert,imdb,bert_mean,df,5,0.826,0.035951356024495076,0.8256640264275981,0.036174835716807296,0.8287633747831117,0.03566475812847657,0.8483333333333333,0.0350594732799377,5.0,1.224744871391589,0.0497335399966687,0.009194743453711235,0.05559604000300169,0.01256005520871934,204.61228158001322,26.237627062193056,114.60058518003207,27.55371579468512,1.348261720011942,0.02196289268237143
bert,imdb,bert_mean,dfs,5,0.83,0.024494897427831768,0.828793167887598,0.02398105977268705,0.8282881482552535,0.023790958185346572,0.83,0.03935239651039194,4.4,2.1908902300206643,0.05770791999530047,0.006982046881806959,0.05810363995842636,0.009511332996588129,117.72567778001539,34.01105766174469,61.165404339996165,30.410073797032027,0.7217843599850312,0.044953053488199717
bert,imdb,bert_mean,ig,5,0.821,0.009617692030835649,0.8196147147030931,0.01000218478120189,0.8198326344707924,0.011635573846750727,0.84,0.037453675090407076,8.6,1.816590212458495,0.07027694000862539,0.00941808925986271,0.07719805997330695,0.005793273042339544,182.59808697998523,30.364315279196095,124.01939414001535,28.39827305811445,0.7611565200146287,0.05525225613585724
bert,imdb,bert_mean,none,5,0.85,0.013693063937629165,0.8486509631034568,0.014068248002574524,0.8477267688451898,0.014297756394616576,0.8916666666666667,0.015590239111558078,6.4,1.140175425099138,0.011886100005358457,0.0018983056691096554,0.01141399999614805,0.003976777829509452,239.76898526002188,26.054175197700868,150.69442853995133,26.167321672863874,1.3619426999706774,0.024920345513911354
classic,imdb,fasttext_cnn,df,5,0.758,0.024135036772294362,0.7571707233017149,0.023609215838783445,0.75717502891845,0.023016928903117368,0.7883333333333333,0.05483561292120701,18.6,8.264381404557755,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,9.851728780000121,2.69039239393783,4.675809980000485,2.1958146958531293,0.008597039995947853,0.0004214206115895354
classic,imdb,fasttext_cnn,dfs,5,0.768,0.021965882636488816,0.7673501054620652,0.02154678497878621,0.7676594129554656,0.020804477012533778,0.795,0.041499665326629104,18.4,18.902380802428038,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,7.814423800000805,3.454322434133721,3.589533179998398,3.6406769345372774,0.008879639999940991,0.0010777511150439766
classic,imdb,fasttext_cnn,ig,5,0.774,0.01635542723379614,0.7736105947747975,0.016203048364431996,0.7743195729708887,0.01618646081614736,0.79,0.02725904538966021,13.6,11.674759098157015,0.06798234000161756,0.00269827517847116,0.07563973999931477,0.005459470581051371,7.233426619996317,2.1135970694234056,2.6645637200010244,2.1503821809266688,0.008061720000114292,0.0007765120062935163
classic,imdb,fasttext_cnn,none,5,0.732,0.040865633483405134,0.7311941279488583,0.0412790547461601,0.7341253373819163,0.039780498298384995,0.7483333333333333,0.042245972852121935,14.2,8.87130204648675,0.010411880002357066,0.0013370709511120742,0.010283620000700466,0.0008975037174417797,8.880557459997362,2.3870687133757644,3.5759992400038754,2.3123320771638376,0.01046661999716889,0.0031498751399982442
classic,imdb,fasttext_lstm,df,5,0.667,0.05274940757961173,0.6652597070694706,0.052052240520179816,0.6664702621939463,0.05105650433871662,0.6916666666666667,0.03061862178478974,16.0,7.615773105863909,0.05055491999955848,0.0035308749438825596,0.05025252000195905,0.002175398926249342,28.493731459998525,4.349691208866755,12.182996099995217,5.784940421789702,0.03130409999575932,0.0040786121208231775
classic,imdb,fasttext_lstm,dfs,5,0.779,0.017818529681205477,0.7777735593509563,0.017649314314768023,0.7780087237324079,0.01718259752854206,0.8066666666666666,0.04013864859597432,12.8,10.986355173577815,0.05748951999703422,0.00459820240775261,0.0636199199972907,0.007921812899121663,19.081075419994885,6.4397873653305435,7.548468120000325,6.947595642676677,0.02737994000199251,0.005108392626618244
classic,imdb,fasttext_lstm,ig,5,0.766,0.021035683967962647,0.7645531470529751,0.021658443677610738,0.7669021110468479,0.02096379131616287,0.815,0.03651483716701105,7.4,2.8809720581775866,0.06798234000161756,0.00269827517847116,0.07563973999931477,0.005459470581051371,18.38446353999607,2.7520510526624284,4.666027020002366,1.961491267790104,0.028838479999103585,0.0029079847654447447
classic,imdb,fasttext_lstm,none,5,0.723,0.04192254763250918,0.7221029660735386,0.042157022321382076,0.7233106805475227,0.04164972290067476,0.7366666666666667,0.03935239651039199,39.8,24.128820940941146,0.010411880002357066,0.0013370709511120742,0.010283620000700466,0.0008975037174417797,46.36623352000024,16.356097525006586,30.494713180008695,17.88308709040505,0.03517383999715094,0.007009649705498866
gcn,imdb,fasttext_residual_word_gcn,df,5,0.719,0.06308724118235003,0.7171514309000072,0.0625163106646571,0.716927053209948,0.06218380462591124,0.7783333333333333,0.02801289385661934,80.0,51.063685726747146,0.03673797999508679,0.004571791733322998,0.03970678000478074,0.00315192659001809,0.7872212200192734,0.37847321196910816,0.3549256399972364,0.2218370952014753,0.0012464600033126772,9.807954879609031e-05
gcn,imdb,fasttext_residual_word_gcn,dfs,5,0.801,0.042924352062669494,0.8003723657255504,0.043027795181280123,0.8014548390206285,0.04405848634290703,0.8183333333333334,0.027259045389660213,40.0,28.521921393903323,0.04141033999621868,0.0027899100256824514,0.048090800002682954,0.0026718457578198,0.45906523999292403,0.20305904413644454,0.16148147999774665,0.11283532802818673,0.0010156599921174348,0.0002380571961783927
gcn,imdb,fasttext_residual_word_gcn,ig,5,0.799,0.034713109915419545,0.7977041019871293,0.03526824565723977,0.7978370204357046,0.03469807914346411,0.8383333333333334,0.033124344857252956,52.4,34.355494465951146,0.050028619985096154,0.0022643362599822,0.0566586000029929,0.001516991252062995,0.5402650199714116,0.2354292161358353,0.2171141800004989,0.14537169657727314,0.0010361000080592931,0.00038933289418495806
