family,dataset_id,model,selector,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,amazon_cells,random_lstm,df,5,-0.0031220812053911694,0.03148197662435937,3,0,2
classic,amazon_cells,random_lstm,dfs,5,0.02519699971425602,0.016224364948659562,5,0,0
classic,amazon_cells,random_lstm,ig,5,0.024212329658341435,0.01570787068300335,4,1,0
classic,amazon_cells,random_wa,df,5,0.003081319534142013,0.017687818354329955,3,1,1
classic,amazon_cells,random_wa,dfs,5,0.005984107070758626,0.028033850426607557,4,0,1
classic,amazon_cells,random_wa,ig,5,0.012146797670864707,0.02249217538566941,2,1,2
bert,amazon_review_full,bert_bilstm_attention,df,5,-0.06012080605045429,0.032977447746838424,0,0,5
bert,amazon_review_full,bert_bilstm_attention,dfs,5,-0.07528226993553627,0.03242880479004015,0,0,5
bert,amazon_review_full,bert_bilstm_attention,ig,5,-0.08032785137810264,0.06661898247467388,1,0,4
bert,amazon_review_full,bert_cls,df,5,-0.04720684229226944,0.028208682270338518,0,0,5
bert,amazon_review_full,bert_cls,dfs,5,-0.09927252423734836,0.040263108213457126,0,0,5
bert,amazon_review_full,bert_cls,ig,5,-0.09735297700624337,0.04344905423853307,0,0,5
bert,amazon_review_full,bert_cnn,df,5,-0.035136185980407075,0.03148549186379401,1,0,4
bert,amazon_review_full,bert_cnn,dfs,5,-0.09324689102076036,0.026547691602588852,0,0,5
bert,amazon_review_full,bert_cnn,ig,5,-0.08231267448352876,0.030620290187448093,0,0,5
bert,amazon_review_full,bert_mean,df,5,-0.03913095781940005,0.02888115437284738,0,1,4
bert,amazon_review_full,bert_mean,dfs,5,-0.0752117151413634,0.025452197161579565,0,0,5
bert,amazon_review_full,bert_mean,ig,5,-0.10226222019186845,0.042400287844503906,0,0,5
classic,amazon_review_full,fasttext_cnn,df,5,0.04402487183391707,0.04206666743649156,4,0,1
classic,amazon_review_full,fasttext_cnn,dfs,5,0.036014770823816065,0.04180200283261145,4,0,1
classic,amazon_review_full,fasttext_cnn,ig,5,0.030065326633165846,0.04602431333813698,3,1,1
classic,amazon_review_full,fasttext_lstm,df,5,0.008974874371859287,0.03232087305253227,2,1,2
classic,amazon_review_full,fasttext_lstm,dfs,5,0.05310070554794172,0.04053075617082255,5,0,0
classic,amazon_review_full,fasttext_lstm,ig,5,0.01602512562814069,0.009647200791893632,4,1,0
gcn,amazon_review_full,fasttext_residual_word_gcn,df,5,-0.01808578244759148,0.009895223803595867,0,0,5
gcn,amazon_review_full,fasttext_residual_word_gcn,dfs,5,0.014019745190599463,0.05117059155758377,3,0,2
gcn,amazon_review_full,fasttext_residual_word_gcn,ig,5,-0.002015329171108071,0.039701148486665526,3,0,2
classic,amazon_review_full,fasttext_wa,df,5,0.018020455814425674,0.047503623759285414,3,0,2
classic,amazon_review_full,fasttext_wa,dfs,5,0.003025430181209077,0.0486308801020266,3,0,2
classic,amazon_review_full,fasttext_wa,ig,5,0.021111314146490034,0.056958083633352814,3,0,2
classic,amazon_review_full,random_cnn,df,5,0.009146286990508078,0.04563575740544348,4,0,1
classic,amazon_review_full,random_cnn,dfs,5,0.0150453276483427,0.015823385970579196,4,0,1
classic,amazon_review_full,random_cnn,ig,5,0.03818674178975684,0.026434385139257607,5,0,0
classic,amazon_review_full,random_lstm,df,5,-0.020085782447591488,0.02983264222098494,1,0,4
classic,amazon_review_full,random_lstm,dfs,5,0.07115110908075732,0.03518506098120777,5,0,0
classic,amazon_review_full,random_lstm,ig,5,0.052166285975331204,0.019307922242976883,5,0,0
classic,amazon_review_full,random_wa,df,5,0.03211090807573219,0.009816327976682951,5,0,0
classic,amazon_review_full,random_wa,dfs,5,0.03606050454291661,0.035743362607803975,5,0,0
classic,amazon_review_full,random_wa,ig,5,0.03414623623166337,0.04469713574839337,4,0,1
bert,amazon_review_polarity,bert_bilstm_attention,df,5,-0.03202512562814073,0.02438367195468078,0,0,5
bert,amazon_review_polarity,bert_bilstm_attention,dfs,5,-0.07102512562814071,0.047849908142542606,0,0,5
bert,amazon_review_polarity,bert_bilstm_attention,ig,5,-0.09110050251256281,0.03232354885076546,0,0,5
bert,amazon_review_polarity,bert_cls,df,5,-0.024055276381909563,0.030972555545030124,1,0,4
bert,amazon_review_polarity,bert_cls,dfs,5,-0.07807537688442209,0.030322649649071894,0,0,5
bert,amazon_review_polarity,bert_cls,ig,5,-0.08205527638190954,0.03148466486423335,0,0,5
bert,amazon_review_polarity,bert_cnn,df,5,-0.03604020100502514,0.01246635835576198,0,0,5
bert,amazon_review_polarity,bert_cnn,dfs,5,-0.06902512562814071,0.041106439123213635,0,0,5
bert,amazon_review_polarity,bert_cnn,ig,5,-0.09206030150753768,0.020067238493525787,0,0,5
bert,amazon_review_polarity,bert_mean,df,5,-0.05300502512562817,0.034378730505707465,0,0,5
bert,amazon_review_polarity,bert_mean,dfs,5,-0.06897989949748747,0.05598637675327858,1,0,4
bert,amazon_review_polarity,bert_mean,ig,5,-0.08106532663316583,0.018436601436229254,0,0,5
classic,amazon_review_polarity,fasttext_cnn,df,5,0.018065326633165846,0.04433054496892619,2,1,2
classic,amazon_review_polarity,fasttext_cnn,dfs,5,0.001070351758793975,0.05715907998946261,2,1,2
classic,amazon_review_polarity,fasttext_cnn,ig,5,0.0010653266331658306,0.061971554758223836,3,0,2
classic,amazon_review_polarity,fasttext_lstm,df,5,-0.02401507537688443,0.011923168218013284,0,0,5
classic,amazon_review_polarity,fasttext_lstm,dfs,5,0.002974874371859304,0.020230223687735065,3,0,2
classic,amazon_review_polarity,fasttext_lstm,ig,5,0.007994974874371886,0.018239063650372856,3,0,2
gcn,amazon_review_polarity,fasttext_residual_word_gcn,df,5,-0.026070351758793974,0.03905462124150183,1,0,4
gcn,amazon_review_polarity,fasttext_residual_word_gcn,dfs,5,0.06607537688442215,0.010918992090528469,5,0,0
gcn,amazon_review_polarity,fasttext_residual_word_gcn,ig,5,0.043055276381909556,0.03117167895460994,5,0,0
classic,amazon_review_polarity,fasttext_wa,df,5,-0.01702010050251255,0.017892813471331172,1,0,4
classic,amazon_review_polarity,fasttext_wa,dfs,5,-0.012020100502512565,0.03511273316335905,2,0,3
classic,amazon_review_polarity,fasttext_wa,ig,5,-0.030030150753768824,0.026220307880338942,0,1,4
classic,amazon_review_polarity,random_cnn,df,5,-0.0030301507537688456,0.029741212504186217,2,1,2
classic,amazon_review_polarity,random_cnn,dfs,5,-0.02302512562814072,0.00837429308220407,0,0,5
classic,amazon_review_polarity,random_cnn,ig,5,-0.01401005025125628,0.01980908888680117,1,0,4
classic,amazon_review_polarity,random_lstm,df,5,0.015964824120603006,0.051570254132935686,3,0,2
classic,amazon_review_polarity,random_lstm,dfs,5,0.06398492462311556,0.05263533531069801,4,0,1
classic,amazon_review_polarity,random_lstm,ig,5,0.08603015075376885,0.04912518132090837,5,0,0
classic,amazon_review_polarity,random_wa,df,5,-4.522613065325309e-05,0.027930237498327178,3,0,2
classic,amazon_review_polarity,random_wa,dfs,5,0.003984924623115571,0.022488157255252165,2,0,3
classic,amazon_review_polarity,random_wa,ig,5,-0.03709045226130654,0.03527783769848985,0,0,5
bert,bbc_sport,bert_bilstm_attention,df,5,-0.005517892088342169,0.011275687552013592,1,0,4
bert,bbc_sport,bert_bilstm_attention,dfs,5,0.004090563165905637,0.009217737097988772,2,2,1
bert,bbc_sport,bert_bilstm_attention,ig,5,0.002720700152207001,0.010409518651434654,1,3,1
bert,bbc_sport,bert_cls,df,5,-0.002683036684993656,0.01040694134312486,2,1,2
bert,bbc_sport,bert_cls,dfs,5,0.004138321995464845,0.0037781968847670163,3,2,0
bert,bbc_sport,bert_cls,ig,5,0.00274943310657596,0.0037651497583541995,2,3,0
bert,bbc_sport,bert_cnn,df,5,-0.005470521541950113,0.008875322625131226,0,3,2
bert,bbc_sport,bert_cnn,dfs,5,0.001388888888888884,0.003105649968749697,1,4,0
bert,bbc_sport,bert_cnn,ig,5,-0.0013698630136986356,0.003063106818492875,0,4,1
bert,bbc_sport,bert_mean,df,5,9.318796011559271e-06,0.004826740538778101,1,3,1
bert,bbc_sport,bert_mean,dfs,5,-0.004118907837107444,0.01718423001583713,2,2,1
bert,bbc_sport,bert_mean,ig,5,0.0027113813561954634,0.007832573749817927,2,2,1
classic,bbc_sport,fasttext_cnn,df,5,-0.01231012953126458,0.012249893204971206,0,2,3
classic,bbc_sport,fasttext_cnn,dfs,5,0.013774733637747328,0.010860467193162786,4,1,0
classic,bbc_sport,fasttext_cnn,ig,5,0.009636799925449658,0.003795707376057387,5,0,0
classic,bbc_sport,fasttext_lstm,df,5,0.018158450594849773,0.06703012984302421,3,0,2
classic,bbc_sport,fasttext_lstm,dfs,5,0.15421830832789735,0.06162318738794721,5,0,0
classic,bbc_sport,fasttext_lstm,ig,5,0.14043347932780414,0.06699822428464301,5,0,0
gcn,bbc_sport,fasttext_residual_word_gcn,df,5,-0.026190087907309055,0.02913589278055503,1,0,4
gcn,bbc_sport,fasttext_residual_word_gcn,dfs,5,0.097614776504209,0.03485396708042733,5,0,0
gcn,bbc_sport,fasttext_residual_word_gcn,ig,5,0.1002220979716087,0.038675070615602464,5,0,0
classic,bbc_sport,fasttext_wa,df,5,-0.013679992544963193,0.015336995051308543,1,0,4
classic,bbc_sport,fasttext_wa,dfs,5,0.028730624669959327,0.021731810241815044,4,1,0
classic,bbc_sport,fasttext_wa,ig,5,0.024658699096076785,0.015677857609412284,4,1,0
classic,bbc_sport,random_cnn,df,5,0.008352747491690748,0.02606080728173096,3,0,2
classic,bbc_sport,random_cnn,dfs,5,0.026199406703320615,0.017274566575828227,4,1,0
classic,bbc_sport,random_cnn,ig,5,0.018008573292330632,0.0325884190854273,4,0,1
classic,bbc_sport,random_lstm,df,5,0.0580176591184419,0.08235981165984682,4,0,1
classic,bbc_sport,random_lstm,dfs,5,0.22992343055943837,0.051723842506028905,5,0,0
classic,bbc_sport,random_lstm,ig,5,0.21208531357748578,0.06790973176440225,5,0,0
classic,bbc_sport,random_wa,df,5,-0.0385565184978101,0.01594333427037716,0,0,5
classic,bbc_sport,random_wa,dfs,5,0.014993554499425321,0.026728918561328807,3,1,1
classic,bbc_sport,random_wa,ig,5,0.016344779921100817,0.03001200436780078,3,0,2
bert,dbpedia,bert_bilstm_attention,df,5,-0.025141109588345766,0.018505265509976828,0,1,4
bert,dbpedia,bert_bilstm_attention,dfs,5,-0.04124206893051115,0.009627577816314112,0,0,5
bert,dbpedia,bert_bilstm_attention,ig,5,-0.029166285975331198,0.018656268123616787,0,1,4
bert,dbpedia,bert_cls,df,5,-0.042287447337698604,0.010570039501330354,0,0,5
bert,dbpedia,bert_cls,dfs,5,-0.03519669052332368,0.014604437753412351,0,0,5
bert,dbpedia,bert_cls,ig,5,-0.0402571950662403,0.01751250852792293,0,0,5
bert,dbpedia,bert_cnn,df,5,-0.031211765900208133,0.01762263496778189,0,0,5
bert,dbpedia,bert_cnn,dfs,5,-0.026171564895183,0.011522194157101331,0,0,5
bert,dbpedia,bert_cnn,ig,5,-0.029206791533424693,0.0157696160165601,0,0,5
bert,dbpedia,bert_mean,df,5,-0.031181361352215654,0.018946346298920808,0,0,5
bert,dbpedia,bert_mean,dfs,5,-0.0332218161514644,0.015363026809391195,0,0,5
bert,dbpedia,bert_mean,ig,5,-0.029201817166641275,0.011573911536031854,0,0,5
classic,dbpedia,fasttext_cnn,df,5,0.0030150246180396635,0.01157981247608418,3,0,2
classic,dbpedia,fasttext_cnn,dfs,5,0.010014872341505488,0.019486872599668838,3,0,2
classic,dbpedia,fasttext_cnn,ig,5,0.001045479924876913,0.013959078748563525,3,0,2
classic,dbpedia,fasttext_lstm,df,5,0.09059007156997104,0.022200470729173992,5,0,0
classic,dbpedia,fasttext_lstm,dfs,5,0.1167362570427897,0.03930529205390637,5,0,0
classic,dbpedia,fasttext_lstm,ig,5,0.07250972031876553,0.04752844936527698,5,0,0
gcn,dbpedia,fasttext_residual_word_gcn,df,5,-0.03815100756306784,0.025668904617077142,0,1,4
