family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,20ng,fasttext_wa,ig,1000,5,-0.0746019692370482,0.04023406872561003,0,0,5
classic,20ng,fasttext_wa,ig,1500,5,-0.07765313879039867,0.04124810461648064,0,0,5
classic,20ng,fasttext_wa,ig,2000,5,-0.05458765910772134,0.05265518312014193,0,1,4
classic,20ng,random_cnn,df,500,5,-0.10789664056322221,0.04266974056343651,0,0,5
classic,20ng,random_cnn,df,1000,5,-0.023253552024079784,0.054739234798958,2,0,3
classic,20ng,random_cnn,df,1500,5,-0.028284161926383188,0.039268777441124426,1,0,4
classic,20ng,random_cnn,df,2000,5,-0.012035788077443054,0.05565953839620189,2,0,3
classic,20ng,random_cnn,dfs,500,5,0.08770826212279673,0.07916795031680539,5,0,0
classic,20ng,random_cnn,dfs,1000,5,0.1018454710098717,0.021875516341632283,5,0,0
classic,20ng,random_cnn,dfs,1500,5,0.10486587761140731,0.02707153736655408,5,0,0
classic,20ng,random_cnn,dfs,2000,5,0.12205318470525217,0.038158213278773376,5,0,0
classic,20ng,random_cnn,ig,500,5,0.025085121036655333,0.07217760720363835,3,0,2
classic,20ng,random_cnn,ig,1000,5,0.03530410937938424,0.04264522129647645,4,0,1
classic,20ng,random_cnn,ig,1500,5,0.03626299007729002,0.04940173507826112,4,0,1
classic,20ng,random_cnn,ig,2000,5,0.013202994668775359,0.05136221697605923,2,0,3
classic,20ng,random_lstm,df,500,5,0.020263602275336065,0.03087941254564657,3,0,2
classic,20ng,random_lstm,df,1000,5,0.02207019870928245,0.026743862567732445,4,0,1
classic,20ng,random_lstm,df,1500,5,0.01824319567380047,0.0282220154115027,4,0,1
classic,20ng,random_lstm,df,2000,5,0.009172537815983465,0.02465797919031667,3,1,1
classic,20ng,random_lstm,dfs,500,5,0.34899798484809835,0.04311497590402123,5,0,0
classic,20ng,random_lstm,dfs,1000,5,0.3146637247149453,0.030708773451546476,5,0,0
classic,20ng,random_lstm,dfs,1500,5,0.2573248986046986,0.05603393508540925,5,0,0
classic,20ng,random_lstm,dfs,2000,5,0.20290459913782108,0.06555618668806883,5,0,0
classic,20ng,random_lstm,ig,500,5,0.06965862306456137,0.029594304559585928,5,0,0
classic,20ng,random_lstm,ig,1000,5,0.066663495140678,0.0412959158034887,5,0,0
classic,20ng,random_lstm,ig,1500,5,0.06456709945667423,0.015902669762892476,5,0,0
classic,20ng,random_lstm,ig,2000,5,0.050562686529092155,0.031433115465765875,5,0,0
