family,dataset_id,model,selector,feature_count,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_epoch_mean,best_epoch_std
classic,20ng,fasttext_wa,dfs,1500,5,0.6341958778664898,0.03299282900683415,0.627929546824802,0.03593095256806927,0.6300598845598845,0.03469712669972491,68.8,22.30919093109385
classic,20ng,fasttext_wa,dfs,2000,5,0.6371957248169783,0.030202245330838987,0.6317172970049223,0.03280949576274971,0.6319671717171718,0.02982998691646511,76.8,33.94407164734366
classic,20ng,fasttext_wa,dfs,500,5,0.6049627324439456,0.050707804823166336,0.5976480688895989,0.05205465022094427,0.6017734487734487,0.04975168254001092,50.2,11.541230437002806
classic,20ng,fasttext_wa,ig,1000,5,0.5716641073387241,0.0344058144656597,0.5571607758350391,0.03651647512747206,0.5632150072150072,0.03450594089140386,91.2,27.91415411578864
classic,20ng,fasttext_wa,ig,1500,5,0.5686129377853736,0.03480721472362746,0.5578533678573917,0.035528172437170366,0.5626147186147186,0.031036822432408847,94.6,26.55748482066779
classic,20ng,fasttext_wa,ig,2000,5,0.5916784174680509,0.03824530853095395,0.5825122353625186,0.038688296281300306,0.583829365079365,0.03879108686987137,119.6,50.48068937722622
classic,20ng,fasttext_wa,ig,500,5,0.5354210647144351,0.03450047098075729,0.5226531117629891,0.0338607171359964,0.5297460317460317,0.036716383484413716,104.0,25.563646062328434
classic,20ng,fasttext_wa,none,all,5,0.6462660765757723,0.020800838322267652,0.6385785491810096,0.01837917007247117,0.640541847041847,0.022616699620773367,93.4,37.380476187443094
classic,20ng,random_cnn,df,1000,5,0.43348391704716477,0.023885144246305917,0.41714877284594154,0.02753534289558751,0.4217943722943723,0.026355234960483656,55.4,16.742162345408076
classic,20ng,random_cnn,df,1500,5,0.42845330714486135,0.020896858643562416,0.4049490676536669,0.024910924351616234,0.4152193362193362,0.023445561738925202,79.8,27.105350025410115
classic,20ng,random_cnn,df,2000,5,0.4447016809938015,0.03894340357814142,0.42901167629376075,0.03742385570090386,0.4350851370851371,0.03816028398468527,68.4,13.649175799292792
classic,20ng,random_cnn,df,500,5,0.34884082850802234,0.014452437647075742,0.3329934647861069,0.011504740544008126,0.3398737373737374,0.014289879844023115,50.4,27.418971534322726
classic,20ng,random_cnn,dfs,1000,5,0.5585829400811162,0.039104706387869975,0.5435961416572637,0.039483410715232585,0.5517474747474747,0.03921238809416131,50.0,19.06567596493762
classic,20ng,random_cnn,dfs,1500,5,0.5616033466826519,0.03304828422683277,0.5467888250572517,0.026840406621434953,0.5556756854256855,0.03452242244002203,68.0,23.885141824992374
classic,20ng,random_cnn,dfs,2000,5,0.5787906537764967,0.04134701784058687,0.5653680762500599,0.04417315180854739,0.5749209956709957,0.04514399246836705,61.6,15.372052563011877
classic,20ng,random_cnn,dfs,500,5,0.5444457311940413,0.0434232816685946,0.5410972068595369,0.043366046879336186,0.5453174603174603,0.04429962518599993,38.6,23.870483866063545
classic,20ng,random_cnn,ig,1000,5,0.4920415784506288,0.037544657562363255,0.46819314387158323,0.0400141216901687,0.48073304473304473,0.042222485691067804,60.0,15.795568998931314
classic,20ng,random_cnn,ig,1500,5,0.4930004591485346,0.022052506537599242,0.4697619036170493,0.02341776999298903,0.4816940836940837,0.01900447346998718,69.2,19.070920271449932
classic,20ng,random_cnn,ig,2000,5,0.4699404637400199,0.04368950321648367,0.4559385200227123,0.04771483062791694,0.4613077200577201,0.04440557900018169,50.4,10.358571330062848
classic,20ng,random_cnn,ig,500,5,0.4818225901078999,0.0234006896935681,0.46316179840863536,0.020147344264082146,0.4766471861471861,0.025071762859447275,65.6,20.995237555217134
classic,20ng,random_cnn,none,all,5,0.4567374690712446,0.05202907609180294,0.4339638584311276,0.05094458688936204,0.4415523088023088,0.05540688887102987,62.2,26.957373759326035
classic,20ng,random_lstm,df,1000,5,0.1661587123434431,0.03867938152382308,0.157449915006666,0.042665403490849026,0.16017604617604617,0.038393432703582905,38.6,16.501515081955354
classic,20ng,random_lstm,df,1500,5,0.16233170930796112,0.01437330321638054,0.1498058656309615,0.017296857850340696,0.1549592352092352,0.014623444366256658,32.8,11.861703081766969
classic,20ng,random_lstm,df,2000,5,0.15326105145014413,0.010456656881173814,0.1393012022163616,0.017641743734486667,0.1457806637806638,0.011288387173301464,21.6,13.501851724856113
classic,20ng,random_lstm,df,500,5,0.16435211590949672,0.030208593671094484,0.1524576252933179,0.025212977821894217,0.1578445165945166,0.02682846667848991,27.2,14.88959368149447
